uniqueID	rank
201502_s_at	-14349.0
201503_at	17271.0
201504_s_at	21020.0
201505_at	-18220.0
201506_at	-6644.0
201507_at	14855.0
201508_at	19876.0
201509_at	17783.0
201510_at	-5880.0
201511_at	12858.0
201512_s_at	13625.0
201513_at	-14947.0
201514_s_at	19009.0
201515_s_at	15604.0
201516_at	-10666.0
201517_at	16654.0
201518_at	-15811.0
201519_at	-10533.0
201520_s_at	14858.0
201521_s_at	21452.0
201522_x_at	10855.0
201523_x_at	19106.0
201524_x_at	13546.0
201525_at	4972.0
201526_at	-17636.0
201527_at	12617.0
201528_at	-10705.0
201529_s_at	17792.0
201530_x_at	18076.0
201531_at	19948.0
201532_at	14797.0
201533_at	-14627.0
201534_s_at	-13146.0
201535_at	-16532.0
201536_at	10294.0
201537_s_at	12816.0
201538_s_at	19913.0
201539_s_at	18167.0
201540_at	13305.0
201541_s_at	20003.0
201542_at	-13843.0
201543_s_at	-12180.0
201544_x_at	15368.0
201545_s_at	22060.0
201546_at	16321.0
201547_at	1105.0
201548_s_at	-12705.0
201549_x_at	21250.0
201550_x_at	12567.0
201551_s_at	14564.0
201552_at	-11314.0
201553_s_at	-15700.0
201554_x_at	14214.0
201555_at	20276.0
201556_s_at	22203.0
201557_at	674.0
201558_at	-14319.0
201559_s_at	20851.0
201560_at	10813.0
201561_s_at	16918.0
201562_s_at	12208.0
201563_at	13375.0
201564_s_at	11395.0
201565_s_at	11992.0
201566_x_at	-15825.0
201567_s_at	20817.0
201568_at	18957.0
201569_s_at	-18883.0
201570_at	-13652.0
201571_s_at	-13476.0
201572_x_at	20279.0
201573_s_at	-15328.0
201574_at	17091.0
201575_at	-16296.0
201576_s_at	-10320.0
201577_at	15578.0
201578_at	-15102.0
201579_at	-17836.0
201580_s_at	-12896.0
201581_at	-12853.0
201582_at	-17824.0
201583_s_at	18276.0
201584_s_at	-10319.0
201585_s_at	21395.0
201586_s_at	20596.0
201587_s_at	-19097.0
201588_at	-14593.0
201589_at	-14718.0
201590_x_at	-11913.0
201591_s_at	-18972.0
201592_at	15335.0
201593_s_at	16328.0
201594_s_at	15750.0
201595_s_at	13200.0
201596_x_at	-14686.0
201597_at	-17815.0
201598_s_at	-17095.0
201599_at	-17004.0
201600_at	10225.0
201601_x_at	15953.0
201602_s_at	-10568.0
201603_at	-12654.0
201604_s_at	21088.0
201605_x_at	19979.0
201606_s_at	-10971.0
201607_at	-14073.0
201608_s_at	16249.0
201609_x_at	-11293.0
201610_at	-9750.0
201611_s_at	14719.0
201612_at	-13755.0
201613_s_at	-17860.0
201614_s_at	12772.0
201615_x_at	12857.0
201616_s_at	15614.0
201617_x_at	17537.0
201618_x_at	11646.0
201619_at	20384.0
201620_at	22065.0
201621_at	21091.0
201622_at	18895.0
201623_s_at	11132.0
201624_at	-19053.0
201625_s_at	-16837.0
201626_at	12543.0
201627_s_at	21883.0
201628_s_at	18089.0
201629_s_at	-17028.0
201630_s_at	-20175.0
201631_s_at	-10168.0
201632_at	-13496.0
201633_s_at	18465.0
201634_s_at	-13210.0
201635_s_at	19883.0
201636_at	12079.0
201637_s_at	-10724.0
201638_s_at	-7009.0
201639_s_at	10815.0
201640_x_at	16597.0
201641_at	-7012.0
201642_at	20270.0
201643_x_at	21396.0
201644_at	13118.0
201645_at	17450.0
201646_at	16045.0
201647_s_at	19873.0
201648_at	17736.0
201649_at	16062.0
201650_at	14281.0
201651_s_at	-19498.0
201652_at	11767.0
201653_at	-17217.0
201654_s_at	5872.0
201655_s_at	-17834.0
201656_at	18413.0
201657_at	10949.0
201658_at	-14300.0
201659_s_at	16420.0
201660_at	-12643.0
201661_s_at	-14838.0
201662_s_at	-11421.0
201663_s_at	18551.0
201664_at	12721.0
201665_x_at	15128.0
201666_at	13198.0
201667_at	11379.0
201668_x_at	18282.0
201669_s_at	-14703.0
201670_s_at	-19100.0
201671_x_at	18943.0
201672_s_at	-17643.0
201673_s_at	12341.0
201674_s_at	-13065.0
201675_at	-11963.0
201676_x_at	-17227.0
201677_at	18545.0
